Law Enforcement Agency,Agency Type,STATE,County Name,Program Type,ICE Signed Date,Location,Jurisdiction Population (2024 US Census ACS
Indian Harbour Beach Police Department,Municipality,FLORIDA,#N/A,Task Force Model,"Apr 10, 2025","Indian Harbour Beach, FLORIDA",9006
Key Colony Beach Police Department,Municipality,FLORIDA,#N/A,Task Force Model,"Apr 10, 2025","Key Colony Beach, FLORIDA",749
Lady Lake Police Department,Municipality,FLORIDA,#N/A,Task Force Model,"Apr 10, 2025","Lady Lake, FLORIDA",17288
Greens Fork Police Department,Municipality,INDIANA,#NA,Task Force Model,"Apr 10, 2025","Greens Fork, INDIANA",329
Kershaw County Sheriff's Office,County,SOUTH CAROLINA,Kershaw County,Task Force Model,"Apr 10, 2025","County: Kershaw County, SOUTH CAROLINA",71698
Texas National Guard,State,TEXAS,#N/A,Task Force Model,"Apr 10, 2025",TEXAS,31290831
Hamilton County Sheriff's Office,County,TEXAS,Hamilton County,Task Force Model,"Apr 10, 2025","County: Hamilton County, TEXAS",8644
Lantana Police Department,Municipality,FLORIDA,#N/A,Task Force Model,"Apr 14, 2025","Lantana, FLORIDA",12545
Live Oak Police Department,Municipality,FLORIDA,#N/A,Task Force Model,"Apr 14, 2025","Live Oak, FLORIDA",7200
Longwood Police Department,Municipality,FLORIDA,#N/A,Task Force Model,"Apr 14, 2025","Longwood, FLORIDA",17089
Melbourne Beach Police Department,Municipality,FLORIDA,#N/A,Task Force Model,"Apr 14, 2025","Melbourne Beach, FLORIDA",3273
Melbourne Police Department,Municipality,FLORIDA,#N/A,Task Force Model,"Apr 14, 2025","Melbourne, FLORIDA",87561
Ocean Ridge Police Department,Municipality,FLORIDA,#NA,Task Force Model,"Apr 14, 2025","Ocean Ridge, FLORIDA",1888
Orange City Police Department,Municipality,FLORIDA,#N/A,Task Force Model,"Apr 14, 2025","Orange City, FLORIDA",15257
Ormond Beach Police Department,Municipality,FLORIDA,#N/A,Task Force Model,"Apr 14, 2025","Ormond Beach, FLORIDA",44596
Pembroke Park Police Department,Municipality,FLORIDA,#NA,Task Force Model,"Apr 14, 2025","Pembroke Park, FLORIDA",6544
Pembroke Pines Police Department,Municipality,FLORIDA,#NA,Task Force Model,"Apr 14, 2025","Pembroke Pines, FLORIDA",179326
Ponce Inlet Police Department,Municipality,FLORIDA,#NA,Task Force Model,"Apr 14, 2025","Ponce Inlet, FLORIDA",3485
St. Cloud Police Department,Municipality,FLORIDA,#N/A,Task Force Model,"Apr 14, 2025","St. Cloud, FLORIDA",71036
Stuart Police Department,Municipality,FLORIDA,#N/A,Task Force Model,"Apr 14, 2025","Stuart, FLORIDA",19566
Zephyrhills Police Department,Municipality,FLORIDA,#NA,Task Force Model,"Apr 14, 2025","Zephyrhills, FLORIDA",22304
Winkler County Sheriff's Office,County,TEXAS,Winkler County,Task Force Model,"Apr 14, 2025","County: Winkler County, TEXAS",7381
Smyth County Sheriff's Office,County,VIRGINIA,Smyth County,Task Force Model,"Apr 14, 2025","Marion, VA 24354",29137
Shenandoah County Sheriff's Office,County,VIRGINIA,Shenandoah County,Task Force Model,"Apr 14, 2025","County: Shenandoah County, VIRGINIA",45441
Florida A&M University Board of Trustees,Municipality,FLORIDA,#N/A,Task Force Model,"Apr 15, 2025","Tallahassee, FLORIDA 32307",null
Florida Southwestern State College Police Department,Municipality,FLORIDA,#N/A,Task Force Model,"Apr 15, 2025","Fort Myers, FLORIDA 33919",null
New College of Florida Police Department,Municipality,FLORIDA,#NA,Task Force Model,"Apr 15, 2025","New College of Florida, FLORIDA",null
Sebastian Police Department,Municipality,FLORIDA,Indian River County,Task Force Model,"Apr 15, 2025","Sebastian, FLORIDA",27087
Sewall's Point Police Department,Municipality,FLORIDA,#NA,Task Force Model,"Apr 15, 2025","Sewall's Point, FLORIDA",2072
Tallahassee State College Police Department,Municipality,FLORIDA,#N/A,Task Force Model,"Apr 15, 2025","Tallahassee State College, FLORIDA",null
University of Florida Police Department,Municipality,FLORIDA,#N/A,Task Force Model,"Apr 15, 2025","University of Florida, FLORIDA",null
University of West Florida Police Department,Municipality,FLORIDA,#N/A,Task Force Model,"Apr 15, 2025","University of West Florida, FLORIDA",null
Crenshaw County Sheriff's Office,County,ALABAMA,Crenshaw County,Warrant Service Officer,"Apr 16, 2025","Luverne, ALABAMA 36049",13114
Navajo County Sheriff's Office,County,ARIZONA,Navajo County,Warrant Service Officer,"Apr 16, 2025","Holbrook, ARIZONA 86025",109516
Muskogee County Sheriff's Office,County,OKLAHOMA,Muskogee County,Warrant Service Officer,"Apr 16, 2025","County: Muskogee County, OKLAHOMA",66752
Giles County Sheriff's Office,County,TENNESSEE,Giles County,Warrant Service Officer,"Apr 16, 2025","County: Giles County, TENNESSEE",30971
Ellis County Sheriff's Office,County,TEXAS,Ellis County,Jail Enforcement Model,"Apr 16, 2025","County: Ellis County, TEXAS",232387
Wichita County Sheriff's Office,County,TEXAS,Wichita County,Warrant Service Officer,"Apr 16, 2025","County: Wichita County, TEXAS",129984
Austin County Sheriff's Office,County,TEXAS,Austin County,Warrant Service Officer,"Apr 16, 2025","County: Austin County, TEXAS",32546
Burleson County Sheriff's Office,County,TEXAS,Burleson County,Warrant Service Officer,"Apr 16, 2025","County: Burleson County, TEXAS",20179
Live Oak County Sheriff's Office,County,TEXAS,Live Oak County,Warrant Service Officer,"Apr 16, 2025","County: Live Oak County, TEXAS",11967
Terrell County Sheriff's Office,County,TEXAS,Terrell County,Warrant Service Officer,"Apr 16, 2025","County: Terrell County, TEXAS",718
Fellsmere Police Department,Municipality,FLORIDA,#N/A,Task Force Model,"Apr 23, 2025","Fellsmere, FLORIDA 32948",5028
Longboat Key Police Department,Municipality,FLORIDA,#N/A,Task Force Model,"Apr 23, 2025","Longboat Key, FLORIDA",7463
Oakland Police Department,Municipality,FLORIDA,#NA,Task Force Model,"Apr 23, 2025","Oakland, FLORIDA",3796
Candia Police Department,Municipality,NEW HAMPSHIRE,#N/A,Task Force Model,"Apr 23, 2025","Candia, NEW HAMPSHIRE",null
Northwest Regional Police Department,Municipality,PENNSYLVANIA,#N/A,Task Force Model,"Apr 23, 2025","Northwest Regional, PENNSYLVANIA",null
Franklin County Sheriff's Office,County,VIRGINIA,Franklin County,Task Force Model,"Apr 23, 2025","County: Franklin County, VIRGINIA",55637
Auburndale Police Department,Municipality,FLORIDA,#N/A,Task Force Model,"Apr 24, 2025","Auburndale, FLORIDA 33823",20659
Belle Isle Police Department,Municipality,FLORIDA,#N/A,Task Force Model,"Apr 24, 2025","Belle Isle, FLORIDA 32809",7741
Florida Polytechnic University Police Department,Municipality,FLORIDA,#N/A,Task Force Model,"Apr 24, 2025","Lakeland, FLORIDA 33805",null
Gulf Breeze Police Department,Municipality,FLORIDA,#N/A,Task Force Model,"Apr 24, 2025","Gulf Breeze, FLORIDA 32561",6955
Kissimmee Police Department,Municipality,FLORIDA,#N/A,Task Force Model,"Apr 24, 2025","Kissimmee, FLORIDA",84756
Lakeland Police Department,Municipality,FLORIDA,#N/A,Task Force Model,"Apr 24, 2025","Lakeland, FLORIDA",124990
Marco Island Police Department,Municipality,FLORIDA,#N/A,Task Force Model,"Apr 24, 2025","Marco Island, FLORIDA",16554
New Smyrna Beach Police Department,Municipality,FLORIDA,#NA,Task Force Model,"Apr 24, 2025","New Smyrna Beach, FLORIDA",33144
North Port Police Department,Municipality,FLORIDA,#NA,Task Force Model,"Apr 24, 2025","North Port, FLORIDA",92875
Ocala Police Department,Municipality,FLORIDA,#NA,Task Force Model,"Apr 24, 2025","Ocala, FLORIDA",70251
Port Orange Police Department,Municipality,FLORIDA,#NA,Task Force Model,"Apr 24, 2025","Port Orange, FLORIDA",66556
Punta Gorda Police Department,Municipality,FLORIDA,#NA,Task Force Model,"Apr 24, 2025","Punta Gorda, FLORIDA",20416
South Daytona Police Department,Municipality,FLORIDA,#NA,Task Force Model,"Apr 24, 2025","South Daytona, FLORIDA",13906
West Melbourne Police Department,Municipality,FLORIDA,#NA,Task Force Model,"Apr 24, 2025","West Melbourne, FLORIDA",31378
"Florida Department of Environmental Protection, Division of Law Enforcement",State,FLORIDA,#N/A,Task Force Model,"Apr 24, 2025",FLORIDA,23372215
Florida Department of Lottery Services,State,FLORIDA,#N/A,Task Force Model,"Apr 24, 2025",FLORIDA,23372215
Florida Division of Alcoholic Beverages and Tobacco,State,FLORIDA,#N/A,Task Force Model,"Apr 24, 2025",FLORIDA,23372215
Florida Gaming Control Commission,State,FLORIDA,#N/A,Task Force Model,"Apr 24, 2025",FLORIDA,23372215
Rockingham County Sheriff's Office,County,NEW HAMPSHIRE,Rockingham County,Task Force Model,"Apr 24, 2025","County: Rockingham County, NEW HAMPSHIRE",322433
Lancaster County Sheriff's Office,County,PENNSYLVANIA,Lancaster County,Task Force Model,"Apr 24, 2025","County: Lancaster County, PENNSYLVANIA",563293
Sweetwater County Sheriff's Office,County,WYOMING,Sweetwater County,Task Force Model,"Apr 24, 2025","Rock Springs, WYOMING 82901",41273
Davenport Police Department,Municipality,FLORIDA,#N/A,Task Force Model,"Apr 25, 2025","Davenport, FLORIDA 33837",16764
Melbourne International Airport Police Department,Municipality,FLORIDA,#N/A,Task Force Model,"Apr 25, 2025","Melbourne International Airport, FLORIDA",null
New Hampshire State Police Department,State,NEW HAMPSHIRE,#N/A,Task Force Model,"Apr 25, 2025",NEW HAMPSHIRE,1409032
Taylor Police Department,Municipality,MICHIGAN,#N/A,Task Force Model,"Apr 28, 2025","Taylor, MICHIGAN",61544
Saint Mary Police Department,Municipality,MISSOURI,#N/A,Task Force Model,"Apr 28, 2025","Saint Mary, MISSOURI",306
Bartow Police Department,Municipality,FLORIDA,#N/A,Task Force Model,"Apr 29, 2025","Bartow, FLORIDA 33830",22084
Daytona Beach Police Department,Municipality,FLORIDA,#N/A,Task Force Model,"Apr 29, 2025","Daytona Beach, FLORIDA 32114",86015
Lake City Police Department,Municipality,FLORIDA,#N/A,Task Force Model,"Apr 29, 2025","Lake City, FLORIDA",12783
Lake Clarke Shores Police Department,Municipality,FLORIDA,#N/A,Task Force Model,"Apr 29, 2025","Lake Clarke Shores, FLORIDA",3629
Riviera Beach Police Department,Municipality,FLORIDA,#NA,Task Force Model,"Apr 29, 2025","Riviera Beach, FLORIDA",39620
Heritage Creek Police Department,Municipality,KENTUCKY,#N/A,Task Force Model,"Apr 29, 2025","Heritage Creek, KENTUCKY",1241
Damascus Township Constable,Municipality,PENNSYLVANIA,#N/A,Task Force Model,"Apr 29, 2025","Damascus Township Constable, PENNSYLVANIA",null
Kenton County Sheriff's Office,County,KENTUCKY,Kenton County,Jail Enforcement Model,"May 2, 2025","County: Kenton County, KENTUCKY",174862
Kerr County Sheriff's Office,County,TEXAS,Kerr County,Warrant Service Officer,"May 2, 2025","County: Kerr County, TEXAS",53900
Kerr County Sheriff's Office,County,TEXAS,Kerr County,Jail Enforcement Model,"May 2, 2025","County: Kerr County, TEXAS",53900
Kenton County Sheriff's Office,County,KENTUCKY,Kenton County,Warrant Service Officer,"May 6, 2025","County: Kenton County, KENTUCKY",174862
Berrien County Sheriff's Office,County,MICHIGAN,Berrien County,Warrant Service Officer,"May 6, 2025","County: Berrien County, MICHIGAN",152703
Orange County Sheriff's Office,County,TEXAS,Orange County,Warrant Service Officer,"May 6, 2025","County: Orange County, TEXAS",86115
Polk County Sheriff's Office,County,TEXAS,Polk County,Warrant Service Officer,"May 6, 2025","County: Polk County, TEXAS",54258
Tift County Sheriff's Office,County,GEORGIA,Tift County,Warrant Service Officer,"May 7, 2025","Tifton, GEORGIA 31793",41708
Tift County Sheriff's Office,County,GEORGIA,Tift County,Jail Enforcement Model,"May 7, 2025","Tifton, GEORGIA 31793",41708
Calhoun County Sheriff's Office,County,MICHIGAN,Calhoun County,Warrant Service Officer,"May 7, 2025","County: Calhoun County, MICHIGAN",133785
Niagara County Sheriff's Office,County,NEW YORK,Niagara County,Warrant Service Officer,"May 7, 2025","County: Niagara County, NEW YORK",209570
Union County Sheriff's Office,County,NORTH CAROLINA,Union County,Warrant Service Officer,"May 7, 2025","County: Union County, NORTH CAROLINA",263386
Hill County Sheriff's Office,County,TEXAS,Hill County,Warrant Service Officer,"May 7, 2025","County: Hill County, TEXAS",38771
Colbert County Sheriff's Office,County,ALABAMA,Colbert County,Warrant Service Officer,"May 8, 2025","Tuscumbia, ALABAMA 35674",58785
Colbert County Sheriff's Office,County,ALABAMA,Colbert County,Jail Enforcement Model,"May 8, 2025","Tuscumbia, ALABAMA 35674",58785
Boynton Beach Police Department,Municipality,FLORIDA,#N/A,Task Force Model,"May 8, 2025","Boynton Beach, FLORIDA 33426",83095
Florida Gulf Coast University Police Department,Municipality,FLORIDA,#N/A,Task Force Model,"May 8, 2025","Fort Myers, FLORIDA 33965",null
Holly Hill Police Department,Municipality,FLORIDA,#N/A,Task Force Model,"May 8, 2025","Holly Hill, FLORIDA",13183
North Bay Village Police Department,Municipality,FLORIDA,#NA,Task Force Model,"May 8, 2025","North Bay Village, FLORIDA",8286
Northwest Florida State College Police Department,Municipality,FLORIDA,#NA,Task Force Model,"May 8, 2025","Northwest Florida State College, FLORIDA",null
Hardee County Sheriff's Office,County,FLORIDA,Hardee County,Task Force Model,"May 8, 2025","Wauchula, FLORIDA 33873",26068
Bracken County Sheriff's Office,County,KENTUCKY,Bracken County,Task Force Model,"May 8, 2025","County: Bracken County, KENTUCKY",8497
Lyon County Sheriff's Office,County,KENTUCKY,Lyon County,Task Force Model,"May 8, 2025","County: Lyon County, KENTUCKY",9078
Marshall County Sheriff's Office,County,KENTUCKY,Marshall County,Task Force Model,"May 8, 2025","County: Marshall County, KENTUCKY",31734
Wheeler County Sheriff's Office,County,NEBRASKA,Wheeler County,Task Force Model,"May 8, 2025","County: Wheeler County, NEBRASKA",808
Niagara County Sheriff's Office,County,NEW YORK,Niagara County,Task Force Model,"May 8, 2025","County: Niagara County, NEW YORK",209570
Eddy County Sheriff's Office,County,NORTH DAKOTA,Eddy County,Task Force Model,"May 8, 2025","County: Eddy County, NORTH DAKOTA",2309
Preston Township Constable's Office,Municipality,PENNSYLVANIA,#N/A,Task Force Model,"May 8, 2025","Preston Township Constable's Office, PENNSYLVANIA",null
Sewickley Township Constable's Office,Municipality,PENNSYLVANIA,#N/A,Task Force Model,"May 8, 2025","Sewickley Township Constable's Office, PENNSYLVANIA",3770
Berkeley County Sheriff's Office,County,SOUTH CAROLINA,Berkeley County,Warrant Service Officer,"May 8, 2025","County: Berkeley County, SOUTH CAROLINA",264276
Berkeley County Sheriff's Office,County,SOUTH CAROLINA,Berkeley County,Task Force Model,"May 8, 2025","County: Berkeley County, SOUTH CAROLINA",264276
Kerr County Sheriff's Office,County,TEXAS,Kerr County,Task Force Model,"May 8, 2025","County: Kerr County, TEXAS",53900
Atascosa County Sheriff's Office,County,TEXAS,Atascosa County,Task Force Model,"May 8, 2025","County: Atascosa County, TEXAS",52783
Grayson County Sheriff's Office,County,VIRGINIA,Grayson County,Task Force Model,"May 8, 2025","County: Grayson County, VIRGINIA",15265
Greene County Sheriff's Office,County,VIRGINIA,Greene County,Task Force Model,"May 8, 2025","County: Greene County, VIRGINIA",21744
Campbell County Sheriff's Office,County,VIRGINIA,Campbell County,Task Force Model,"May 8, 2025","County: Campbell County, VIRGINIA",55342
Southwest Virginia Regional Jail Authority,County,VIRGINIA,#N/A,Warrant Service Officer,"May 8, 2025","Abingdon, VA 24210",null
Wood County Sheriff's Office,County,WEST VIRGINIA,Wood County,Task Force Model,"May 8, 2025","County: Wood County, WEST VIRGINIA",82757
Outagamie County Sheriff's Office,County,WISCONSIN,Outagamie County,Warrant Service Officer,"May 8, 2025","County: Outagamie County, WISCONSIN",195390
Natrona County Sheriff's Office,County,WYOMING,Natrona County,Task Force Model,"May 8, 2025","Casper, WYOMING 82601",80410
Indialantic Police Department,Municipality,FLORIDA,#N/A,Task Force Model,"May 13, 2025","Indialantic, FLORIDA",3117
New Port Richey Police Department,Municipality,FLORIDA,#NA,Task Force Model,"May 13, 2025","New Port Richey, FLORIDA",18130
Ocoee Police Department,Municipality,FLORIDA,#NA,Task Force Model,"May 13, 2025","Ocoee, FLORIDA",51269
Sanford Airport Police Department,Municipality,FLORIDA,#NA,Task Force Model,"May 13, 2025","Sanford Airport, FLORIDA",null
Madison County Sheriff's Office,County,GEORGIA,Madison County,Warrant Service Officer,"May 13, 2025","Danielsville, GEORGIA 30633",32771
Glynn County Sheriff's Office,County,GEORGIA,Glynn County,Warrant Service Officer,"May 13, 2025","Brunswick, GEORGIA 31520",86540
Forsyth County Sheriff's Office,County,GEORGIA,Forsyth County,Warrant Service Officer,"May 13, 2025","Cumming, GEORGIA 30040",280096
Curry County Sheriff's Office,County,NEW MEXICO,Curry County,Warrant Service Officer,"May 13, 2025","County: Curry County, NEW MEXICO",47156
Carteret County Sheriff's Office,County,NORTH CAROLINA,Carteret County,Warrant Service Officer,"May 13, 2025","County: Carteret County, NORTH CAROLINA",70259
Vinita Police Department,Municipality,OKLAHOMA,#N/A,Task Force Model,"May 13, 2025","Vinita, OKLAHOMA",5395
Lincoln County Sheriff's Office,County,OKLAHOMA,Lincoln County,Warrant Service Officer,"May 13, 2025","County: Lincoln County, OKLAHOMA",34972
Tennessee Department of Safety and Homeland Security,State,TENNESSEE,#N/A,Task Force Model,"May 13, 2025",TENNESSEE,7227750
Hood County Sheriff's Office,County,TEXAS,Hood County,Warrant Service Officer,"May 13, 2025","County: Hood County, TEXAS",69126
Coke County Sheriff's Office,County,TEXAS,Coke County,Task Force Model,"May 13, 2025","County: Coke County, TEXAS",3396
Utah Department of Corrections,State,UTAH,#N/A,Warrant Service Officer,"May 13, 2025",UTAH,3503613
Appomattox County Sheriff's Office,County,VIRGINIA,Appomattox County,Task Force Model,"May 13, 2025","County: Appomattox County, VIRGINIA",16957
Mecklenburg County Sheriff's Office,County,VIRGINIA,Mecklenburg County,Task Force Model,"May 13, 2025","County: Mecklenburg County, VIRGINIA",30824
Waukesha County Sheriff's Office,County,WISCONSIN,Waukesha County,Warrant Service Officer,"May 13, 2025","Waukesha County, WISCONSIN",417029
Fort Myers Police Department,Municipality,FLORIDA,#N/A,Task Force Model,"May 16, 2025","Fort Myers, FLORIDA 33901",99918
Sarasota Police Department,Municipality,FLORIDA,#N/A,Task Force Model,"May 16, 2025","Sarasota, FLORIDA",57764
Euharlee Police Department,Municipality,GEORGIA,#N/A,Task Force Model,"May 16, 2025","Euharlee, GEORGIA",4139
Union County Sheriff's Office,County,KENTUCKY,Union County,Task Force Model,"May 16, 2025","County: Union County, KENTUCKY",13178
Beauregard Parish Sheriff's Office,County,LOUISIANA,Beauregard Parish,Task Force Model,"May 16, 2025","County: Beauregard Parish, LOUISIANA",36695
Lower Burrell Fourth Ward Constable,Municipality,PENNSYLVANIA,Westmoreland County,Task Force Model,"May 16, 2025","Lower Burrell Fourth Ward Constable, PENNSYLVANIA",11542
Pickens County Sheriff's Office,County,SOUTH CAROLINA,Pickens County,Task Force Model,"May 16, 2025","County: Pickens County, SOUTH CAROLINA",138207
Craig County Sheriff's Office,County,VIRGINIA,Craig County,Task Force Model,"May 16, 2025","County: Craig County, VIRGINIA",4829
Buckingham County Sheriff's Office,County,VIRGINIA,Buckingham County,Task Force Model,"May 16, 2025","County: Buckingham County, VIRGINIA",17115
Louisiana Alcohol and Tobacco Control,State,LOUISIANA,#N/A,Task Force Model,"May 20, 2025",LOUISIANA,4597740
Louisiana Department of Wildlife & Fisheries,State,LOUISIANA,#N/A,Task Force Model,"May 20, 2025",LOUISIANA,4597740
Louisiana Military Department,State,LOUISIANA,#N/A,Task Force Model,"May 20, 2025",LOUISIANA,4597740
Louisiana Office of the State Fire Marshal,State,LOUISIANA,#N/A,Task Force Model,"May 20, 2025",LOUISIANA,4597740
Louisiana State Police Department,State,LOUISIANA,#N/A,Task Force Model,"May 20, 2025",LOUISIANA,4597740
Franklin County Sheriff's Office,County,TEXAS,Franklin County,Jail Enforcement Model,"May 20, 2025","County: Franklin County, TEXAS",10912
Laramie County Sheriff’s Office,County,WYOMING,Laramie County,Jail Enforcement Model,"May 20, 2025","Cheyenne, WYOMING 82001",101783
Limestone County Sheriff's Office,County,ALABAMA,Limestone County,Warrant Service Officer,"May 22, 2025","Athens, ALABAMA 35611",118942
Jasper County Sheriff's Office,County,GEORGIA,Jasper County,Jail Enforcement Model,"May 22, 2025","Monticello, GEORGIA 31064",17219
Dawson County Sheriff's Office,County,GEORGIA,Dawson County,Warrant Service Officer,"May 22, 2025","Dawsonville, GEORGIA 30534",33748
Harris County Sheriff's Office,County,GEORGIA,Harris County,Warrant Service Officer,"May 22, 2025","Hamilton, GEORGIA 31811",36929
Catoosa County Sheriff's Office,County,GEORGIA,Catoosa County,Jail Enforcement Model,"May 22, 2025","Ringgold, GEORGIA 30736",68940
Catoosa County Sheriff's Office,County,GEORGIA,Catoosa County,Warrant Service Officer,"May 22, 2025","Ringgold, GEORGIA 30736",68940
Coweta County Sheriff's Office,County,GEORGIA,Coweta County,Warrant Service Officer,"May 22, 2025","Newnan, GEORGIA 30263",158233
Kandiyohi County Sheriff's Office,County,MINNESOTA,Kandiyohi County,Warrant Service Officer,"May 22, 2025","County: Kandiyohi County, MINNESOTA",44674
Hillsborough County Sheriff's Office,County,NEW HAMPSHIRE,Hillsborough County,Task Force Model,"May 22, 2025","County: Hillsborough County, NEW HAMPSHIRE",430462
Pickens County Sheriff's Office,County,SOUTH CAROLINA,Pickens County,Warrant Service Officer,"May 22, 2025","County: Pickens County, SOUTH CAROLINA",138207
South Dakota Highway Patrol,State,SOUTH DAKOTA,#N/A,Task Force Model,"May 22, 2025",SOUTH DAKOTA,924669
Sullivan County Sheriff's Office,County,TENNESSEE,Sullivan County,Warrant Service Officer,"May 22, 2025","County: Sullivan County, TENNESSEE",162703
Colorado County Sheriff's Office,County,TEXAS,Colorado County,Jail Enforcement Model,"May 22, 2025","County: Colorado County, TEXAS",21475
Bingham County Sheriff's Office,County,IDAHO,Bingham County,Warrant Service Officer,"May 28, 2025","County: Bingham County, IDAHO",50889
Wabaunsee County Sheriff's Office,County,KANSAS,Wabaunsee County,Warrant Service Officer,"May 28, 2025","County: Wabaunsee County, KANSAS",7112
Plaquemines Parish Sheriff's Office,County,LOUISIANA,Plaquemines Parish,Warrant Service Officer,"May 28, 2025","County: Plaquemines Parish, LOUISIANA",22289
Lake County Sheriff's Office,County,OHIO,Lake County,Task Force Model,"May 28, 2025","Lake County, OHIO",232360
Lake County Sheriff's Office,County,OHIO,Lake County,Warrant Service Officer,"May 28, 2025","Lake County, OHIO",232360
Fort Bend County Sheriff's Office,County,TEXAS,Fort Bend County,Warrant Service Officer,"May 28, 2025","County: Fort Bend County, TEXAS",958434
Fort Bend County Sheriff's Office,County,TEXAS,Fort Bend County,Jail Enforcement Model,"May 28, 2025","County: Fort Bend County, TEXAS",958434
Yuma County Sheriff's Office,County,ARIZONA,Yuma County,Warrant Service Officer,"Jun 3, 2025","Yuma, ARIZONA 85364",220310
Lyon County Sheriff's Office,County,NEVADA,Lyon County,Warrant Service Officer,"Jun 3, 2025","County: Lyon County, NEVADA",63718
Lyon County Sheriff's Office,County,NEVADA,Lyon County,Jail Enforcement Model,"Jun 3, 2025","County: Lyon County, NEVADA",63718
Macon County Sheriff's Office,County,TENNESSEE,Macon County,Warrant Service Officer,"Jun 3, 2025","County: Macon County, TENNESSEE",27189
Alleghany County Sheriff's Office,County,VIRGINIA,Alleghany County,Warrant Service Officer,"Jun 3, 2025","County: Alleghany County, VIRGINIA",14632
Palm Springs Police Department,Municipality,FLORIDA,#N/A,Task Force Model,"Jun 5, 2025","Palm Springs, FLORIDA",28548
Rockledge Police Department,Municipality,FLORIDA,#NA,Task Force Model,"Jun 5, 2025","Rockledge, FLORIDA",31429
Sanford Police Department,Municipality,FLORIDA,#NA,Task Force Model,"Jun 5, 2025","Sanford, FLORIDA",66919
Satellite Beach Police Department,Municipality,FLORIDA,Brevard County,Task Force Model,"Jun 5, 2025","Satellite Beach, FLORIDA",11367
Windermere Police Department,Municipality,FLORIDA,#NA,Task Force Model,"Jun 5, 2025","Windermere, FLORIDA",3223
Winter Springs Police Department,Municipality,FLORIDA,#NA,Task Force Model,"Jun 5, 2025","Winter Springs, FLORIDA",39822
Idaho State Police Department,State,IDAHO,#NA,Task Force Model,"Jun 5, 2025",IDAHO,2001619
Roscommon County Sheriff's Office,County,MICHIGAN,Roscommon County,Task Force Model,"Jun 5, 2025","County: Roscommon County, MICHIGAN",23932
West Virginia Division of Corrections and Rehabilitation,State,WEST VIRGINIA,#N/A,Warrant Service Officer,"Jun 5, 2025",WEST VIRGINIA,1769979
Limestone County Sheriff's Office,County,ALABAMA,Limestone County,Task Force Model,"Jun 11, 2025","Athens, ALABAMA 35611",118942
Franklin County Sheriff's Office,County,ALABAMA,Franklin County,Jail Enforcement Model,"Jun 11, 2025","Russellville, ALABAMA 35653",31874
North Palm Beach Police Department,Municipality,FLORIDA,#NA,Task Force Model,"Jun 11, 2025","North Palm Beach, FLORIDA",13423
Sarasota Manatee Airport Authority Police Department,Municipality,FLORIDA,#NA,Task Force Model,"Jun 11, 2025","Sarasota Manatee Airport Authority, FLORIDA",null
Office of Agricultural Law Enforcement,State,FLORIDA,#N/A,Task Force Model,"Jun 11, 2025",FLORIDA,23372215
Anderson County Sheriff's Office,County,KANSAS,Anderson County,Warrant Service Officer,"Jun 11, 2025","County: Anderson County, KANSAS",7908
Plaquemines Parish Sheriff's Office,County,LOUISIANA,Plaquemines Parish,Task Force Model,"Jun 11, 2025","County: Plaquemines Parish, LOUISIANA",22289
Lafourche Parish Sheriff's Office,County,LOUISIANA,Lafourche Parish,Warrant Service Officer,"Jun 11, 2025","County: Lafourche Parish, LOUISIANA",95342
Monroe County Sheriff's Office,County,MISSISSIPPI,Monroe County,Jail Enforcement Model,"Jun 11, 2025","County: Monroe County, MISSISSIPPI",33483
Catawba County Sheriff's Office,County,NORTH CAROLINA,Catawba County,Warrant Service Officer,"Jun 11, 2025","County: Catawba County, NORTH CAROLINA",167054
Juniata County Sheriff's Office,County,PENNSYLVANIA,Juniata County,Task Force Model,"Jun 11, 2025","County: Juniata County, PENNSYLVANIA",23395
Duncan Police Department,Municipality,SOUTH CAROLINA,#N/A,Task Force Model,"Jun 11, 2025","Duncan, SOUTH CAROLINA",4594
South Dakota Division of Criminal Investigation,State,SOUTH DAKOTA,#N/A,Task Force Model,"Jun 11, 2025",SOUTH DAKOTA,924669
Milam County Sheriff's Office,County,TEXAS,Milam County,Warrant Service Officer,"Jun 11, 2025","County: Milam County, TEXAS",26159
Rains County Sheriff's Office,County,TEXAS,Rains County,Warrant Service Officer,"Jun 11, 2025","County: Rains County, TEXAS",13306
Brooks County Sheriff's Office,County,TEXAS,Brooks County,Jail Enforcement Model,"Jun 11, 2025","County: Brooks County, TEXAS",6740
Buchanan County Sheriff's Office,County,VIRGINIA,Buchanan County,Task Force Model,"Jun 11, 2025","County: Buchanan County, VIRGINIA",18632
Scott County Sheriff's Office,County,VIRGINIA,Scott County,Task Force Model,"Jun 11, 2025","County: Scott County, VIRGINIA",21388
Washington County Sheriff's Office,County,VIRGINIA,Washington County,Task Force Model,"Jun 11, 2025","County: Washington County, VIRGINIA",54098
Pittsylvania County Sheriff's Office,County,VIRGINIA,Pittsylvania County,Jail Enforcement Model,"Jun 11, 2025","County: Pittsylvania County, VIRGINIA",59410
West Virginia National Guard,State,WEST VIRGINIA,#N/A,Task Force Model,"Jun 11, 2025",WEST VIRGINIA,1769979
Kewaunee County Sheriff's Office,County,WISCONSIN,Kewaunee County,Warrant Service Officer,"Jun 11, 2025","County: Kewaunee County, WISCONSIN",20751
